tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo,salario_cliente_log,total_otros_prestamos_log
7,3692160.0,10,42.0,Independiente,8000000.0,2500000.0,341296,695.0,10,5,0.0,51258.0,51258.0,0.0,5,0,0,908526.0,Estable,1,15.894952224644102,14.731801689838349
4,840000.0,6,60.0,Empleado,3000000.0,2000000.0,124876,789.0,3,1,0.0,8673.0,8673.0,0.0,0,0,2,939017.0,Creciente,1,14.914123179965662,14.508658238524095
9,5974028.399999999,10,36.0,Independiente,4036000.0,829000.0,529554,740.0,4,5,0.0,18702.0,18702.0,0.0,3,0,0,1205401.0,Creciente,0,15.210764908225675,13.627976640389322
4,1671240.0,6,48.0,Empleado,1524547.0,498000.0,252420,837.0,4,4,0.0,15782.0,15782.0,0.0,3,0,0,1536193.0,Creciente,1,14.23720853064781,13.118357364036902
9,2781636.0,11,44.0,Empleado,5000000.0,4000000.0,217037,771.0,4,6,0.0,204804.0,204804.0,0.0,3,0,1,933473.0,Creciente,1,15.424948670398354,15.201805169084134
4,1031928.0,12,32.0,Empleado,2800000.0,800000.0,82872,721.0,10,13,0.0,24399.0,24399.0,0.0,2,0,8,2808474.0,Creciente,1,14.845130332288226,13.592368256649284
4,3064280.4,6,68.0,Independiente,1000000.0,17946059.99999993,461231,814.0,11,8,0.0,211775.0,211775.0,0.0,6,3,0,969508.0,Creciente,1,13.815511557963774,16.702881205920505
4,3619560.0,6,31.0,Empleado,3782303.0,305000.0,542079,760.0,1,5,0.0,12078.0,12078.0,0.0,0,1,0,3782303.0,Creciente,1,15.145843905721106,12.628070334272698
9,2134827.6,10,31.0,Empleado,14500000.0,8000000.0,181732,737.0,0,2,0.0,0.0,0.0,0.0,0,0,0,14007850.0,Creciente,1,16.489659276356317,15.894952224644102
4,8400000.0,6,45.0,Empleado,14000000.0,5000000.0,1166667,752.0,4,3,0.0,125383.0,125383.0,0.0,2,0,0,28889623.0,Creciente,1,16.454567959008102,15.424948670398354
